journal,issn,doi,url
Human Rights Law Review,1461-7781,10.1093/hrlr/ngw027,https://doi.org/10.1093/hrlr/ngw027
European Journal of International Law,0938-5428,10.1093/ejil/chaa052,https://doi.org/10.1093/ejil/chaa052
International Studies Quarterly,0020-8833,10.1093/isq/sqad002,https://doi.org/10.1093/isq/sqad002
Public Opinion Quarterly,0033-362X,10.1093/poq/nfr006,https://doi.org/10.1093/poq/nfr006
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muab029,https://doi.org/10.1093/jopart/muab029
African Affairs,0001-9909,10.1093/afraf/adq029,https://doi.org/10.1093/afraf/adq029
Policy and Society,1449-4035,10.1080/14494035.2017.1361634,https://doi.org/10.1080/14494035.2017.1361634
International Affairs,0020-5850,10.1093/ia/iiab092,https://doi.org/10.1093/ia/iiab092
Parliamentary Affairs,0031-2290,10.1093/pa/gsx036,https://doi.org/10.1093/pa/gsx036
International Studies Review,1521-9488,10.1111/misr.12110,https://doi.org/10.1111/misr.12110
Political Science Quarterly,0032-3195,10.1002/polq.12124,https://doi.org/10.1002/polq.12124
Political Science Quarterly,0032-3195,10.1002/polq.12052,https://doi.org/10.1002/polq.12052
Human Rights Law Review,1461-7781,10.1093/hrlr/ngaa038,https://doi.org/10.1093/hrlr/ngaa038
European Journal of International Law,0938-5428,10.1093/ejil/chu043,https://doi.org/10.1093/ejil/chu043
International Studies Perspectives,1528-3577,10.1093/isp/ekz018,https://doi.org/10.1093/isp/ekz018
Public Opinion Quarterly,0033-362X,10.1093/poq/nft062,https://doi.org/10.1093/poq/nft062
Political Science Quarterly,0032-3195,10.1093/psquar/qqad054,https://doi.org/10.1093/psquar/qqad054
International Affairs,0020-5850,10.1111/j.1468-2346.2010.00939.x,https://doi.org/10.1111/j.1468-2346.2010.00939.x
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijy022,https://doi.org/10.1093/ijtj/ijy022
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muq032,https://doi.org/10.1093/jopart/muq032
Science and Public Policy,0302-3427,10.1093/scipol/scac019,https://doi.org/10.1093/scipol/scac019
International Affairs,0020-5850,10.1111/1468-2346.12211,https://doi.org/10.1111/1468-2346.12211
Political Science Quarterly,0032-3195,10.1002/polq.13160,https://doi.org/10.1002/polq.13160
European Journal of International Law,0938-5428,10.1093/ejil/chs002,https://doi.org/10.1093/ejil/chs002
African Affairs,0001-9909,10.1093/afraf/ads001,https://doi.org/10.1093/afraf/ads001
International Affairs,0020-5850,10.1093/ia/iix123,https://doi.org/10.1093/ia/iix123
European Journal of International Law,0938-5428,10.1093/ejil/chv026,https://doi.org/10.1093/ejil/chv026
International Affairs,0020-5850,10.1111/1468-2346.12097,https://doi.org/10.1111/1468-2346.12097
Parliamentary Affairs,0031-2290,10.1093/pa/gsv007,https://doi.org/10.1093/pa/gsv007
International Studies Quarterly,0020-8833,10.1093/isq/sqad058,https://doi.org/10.1093/isq/sqad058
Public Opinion Quarterly,0033-362X,10.1093/poq/nft060,https://doi.org/10.1093/poq/nft060
International Affairs,0020-5850,10.1093/ia/iiad288,https://doi.org/10.1093/ia/iiad288
Socio-Economic Review,1475-1461,10.1093/ser/mwac069,https://doi.org/10.1093/ser/mwac069
International Studies Quarterly,0020-8833,10.1093/isq/sqx091,https://doi.org/10.1093/isq/sqx091
Chinese Journal of International Politics,1750-8916,10.1093/cjip/poaa009,https://doi.org/10.1093/cjip/poaa009
International Studies Review,1521-9488,10.1111/misr.12175,https://doi.org/10.1111/misr.12175
Socio-Economic Review,1475-1461,10.1093/ser/mwae033,https://doi.org/10.1093/ser/mwae033
International Political Sociology,1749-5679,10.1093/ips/olw005,https://doi.org/10.1093/ips/olw005
European Journal of International Law,0938-5428,10.1093/ejil/chw040,https://doi.org/10.1093/ejil/chw040
International Studies Perspectives,1528-3577,10.1111/insp.12027,https://doi.org/10.1111/insp.12027
International Studies Perspectives,1528-3577,10.1111/j.1528-3585.2012.00481.x,https://doi.org/10.1111/j.1528-3585.2012.00481.x
Public Opinion Quarterly,0033-362X,10.1093/poq/nfv067,https://doi.org/10.1093/poq/nfv067
Parliamentary Affairs,0031-2290,10.1093/pa/gsq012,https://doi.org/10.1093/pa/gsq012
Human Rights Law Review,1461-7781,10.1093/hrlr/ngad015,https://doi.org/10.1093/hrlr/ngad015
International Studies Review,1521-9488,10.1093/isr/viae029,https://doi.org/10.1093/isr/viae029
International Studies Perspectives,1528-3577,10.1093/isp/ekad003,https://doi.org/10.1093/isp/ekad003
International Affairs,0020-5850,10.1111/1468-2346.12113,https://doi.org/10.1111/1468-2346.12113
International Studies Review,1521-9488,10.1093/isr/viae011,https://doi.org/10.1093/isr/viae011
African Affairs,0001-9909,10.1093/afraf/adad005,https://doi.org/10.1093/afraf/adad005
Socio-Economic Review,1475-1461,10.1093/ser/mwac038,https://doi.org/10.1093/ser/mwac038
Foreign Policy Analysis,1743-8586,10.1093/fpa/orad010,https://doi.org/10.1093/fpa/orad010
Parliamentary Affairs,0031-2290,10.1093/pa/gsx041,https://doi.org/10.1093/pa/gsx041
Political Science Quarterly,0032-3195,10.1002/polq.12359,https://doi.org/10.1002/polq.12359
Public Opinion Quarterly,0033-362X,10.1093/poq/nfw068,https://doi.org/10.1093/poq/nfw068
International Affairs,0020-5850,10.1093/ia/iiab170,https://doi.org/10.1093/ia/iiab170
Political Science Quarterly,0032-3195,10.1002/polq.12021,https://doi.org/10.1002/polq.12021
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijt009,https://doi.org/10.1093/ijtj/ijt009
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijac001,https://doi.org/10.1093/ijtj/ijac001
International Studies Review,1521-9488,10.1111/misr.12176,https://doi.org/10.1111/misr.12176
Science and Public Policy,0302-3427,10.3152/030234210x511981,https://doi.org/10.3152/030234210x511981
Parliamentary Affairs,0031-2290,10.1093/pa/gsx044,https://doi.org/10.1093/pa/gsx044
Science and Public Policy,0302-3427,10.1093/scipol/scad053,https://doi.org/10.1093/scipol/scad053
Parliamentary Affairs,0031-2290,10.1093/pa/gsx061,https://doi.org/10.1093/pa/gsx061
International Studies Quarterly,0020-8833,10.1093/isq/sqz052,https://doi.org/10.1093/isq/sqz052
Science and Public Policy,0302-3427,10.1093/scipol/scy006,https://doi.org/10.1093/scipol/scy006
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edr014,https://doi.org/10.1093/ijpor/edr014
Political Science Quarterly,0032-3195,10.1002/polq.v133.2,https://doi.org/10.1002/polq.v133.2
International Studies Quarterly,0020-8833,10.1093/isq/sqab077,https://doi.org/10.1093/isq/sqab077
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijx004,https://doi.org/10.1093/ijtj/ijx004
International Affairs,0020-5850,10.1093/ia/iiab137,https://doi.org/10.1093/ia/iiab137
International Studies Quarterly,0020-8833,10.1093/isq/sqae010,https://doi.org/10.1093/isq/sqae010
African Affairs,0001-9909,10.1093/afraf/adad030,https://doi.org/10.1093/afraf/adad030
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edr024,https://doi.org/10.1093/ijpor/edr024
Political Science Quarterly,0032-3195,10.1002/polq.13128,https://doi.org/10.1002/polq.13128
International Studies Review,1521-9488,10.1093/isr/vix019,https://doi.org/10.1093/isr/vix019
International Studies Quarterly,0020-8833,10.1093/isq/sqab094,https://doi.org/10.1093/isq/sqab094
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/mux004,https://doi.org/10.1093/jopart/mux004
International Studies Review,1521-9488,10.1111/j.1468-2486.2010.00978.x,https://doi.org/10.1111/j.1468-2486.2010.00978.x
Public Opinion Quarterly,0033-362X,10.1093/poq/nfw036,https://doi.org/10.1093/poq/nfw036
African Affairs,0001-9909,10.1093/afraf/ads081,https://doi.org/10.1093/afraf/ads081
International Studies Quarterly,0020-8833,10.1111/isqu.12087,https://doi.org/10.1111/isqu.12087
International Studies Review,1521-9488,10.1093/isr/viae036.02,https://doi.org/10.1093/isr/viae036.02
Parliamentary Affairs,0031-2290,10.1093/pa/gsaa011,https://doi.org/10.1093/pa/gsaa011
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edw022,https://doi.org/10.1093/ijpor/edw022
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/eds019,https://doi.org/10.1093/ijpor/eds019
International Studies Quarterly,0020-8833,10.1111/j.1468-2478.2010.00642.x,https://doi.org/10.1111/j.1468-2478.2010.00642.x
Political Science Quarterly,0032-3195,10.1002/polq.13033,https://doi.org/10.1002/polq.13033
International Political Sociology,1749-5679,10.1111/j.1749-5687.2011.00145_6.x,https://doi.org/10.1111/j.1749-5687.2011.00145_6.x
International Affairs,0020-5850,10.1093/ia/iix187,https://doi.org/10.1093/ia/iix187
Political Science Quarterly,0032-3195,10.1002/polq.13084,https://doi.org/10.1002/polq.13084
International Studies Quarterly,0020-8833,10.1093/isq/sqx052,https://doi.org/10.1093/isq/sqx052
International Affairs,0020-5850,10.1093/ia/iiab003,https://doi.org/10.1093/ia/iiab003
Science and Public Policy,0302-3427,10.1093/scipol/scae064,https://doi.org/10.1093/scipol/scae064
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2010.tb01984.x,https://doi.org/10.1002/j.1538-165x.2010.tb01984.x
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijw022,https://doi.org/10.1093/ijtj/ijw022
International Political Sociology,1749-5679,10.1093/ips/olac005,https://doi.org/10.1093/ips/olac005
International Studies Review,1521-9488,10.1093/isr/viac016,https://doi.org/10.1093/isr/viac016
European Journal of International Law,0938-5428,10.1093/ejil/chw016,https://doi.org/10.1093/ejil/chw016
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjad026,https://doi.org/10.1093/publius/pjad026
International Studies Quarterly,0020-8833,10.1111/isqu.12139,https://doi.org/10.1111/isqu.12139
International Affairs,0020-5850,10.1093/ia/iiz139,https://doi.org/10.1093/ia/iiz139
African Affairs,0001-9909,10.1093/afraf/adu060,https://doi.org/10.1093/afraf/adu060
Parliamentary Affairs,0031-2290,10.1093/pa/gsab024,https://doi.org/10.1093/pa/gsab024
African Affairs,0001-9909,10.1093/afraf/adx053,https://doi.org/10.1093/afraf/adx053
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2012.tb02245.x,https://doi.org/10.1002/j.1538-165x.2012.tb02245.x
International Affairs,0020-5850,10.1111/1468-2346.12681,https://doi.org/10.1111/1468-2346.12681
International Affairs,0020-5850,10.1093/ia/iiz124,https://doi.org/10.1093/ia/iiz124
African Affairs,0001-9909,10.1093/afraf/adq022,https://doi.org/10.1093/afraf/adq022
International Political Sociology,1749-5679,10.1093/ips/oly007,https://doi.org/10.1093/ips/oly007
European Journal of International Law,0938-5428,10.1093/ejil/chx046,https://doi.org/10.1093/ejil/chx046
African Affairs,0001-9909,10.1093/afraf/adv046,https://doi.org/10.1093/afraf/adv046
International Affairs,0020-5850,10.1093/ia/iiad323,https://doi.org/10.1093/ia/iiad323
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muz019,https://doi.org/10.1093/jopart/muz019
Parliamentary Affairs,0031-2290,10.1093/pa/gsx024,https://doi.org/10.1093/pa/gsx024
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2012.tb01151.x,https://doi.org/10.1002/j.1538-165x.2012.tb01151.x
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjae024,https://doi.org/10.1093/publius/pjae024
Foreign Policy Analysis,1743-8586,10.1111/fpa.12030,https://doi.org/10.1111/fpa.12030
International Studies Review,1521-9488,10.1093/isr/viv030,https://doi.org/10.1093/isr/viv030
Political Science Quarterly,0032-3195,10.1002/polq.12985,https://doi.org/10.1002/polq.12985
African Affairs,0001-9909,10.1093/afraf/adu080,https://doi.org/10.1093/afraf/adu080
Political Science Quarterly,0032-3195,10.1002/polq.12471,https://doi.org/10.1002/polq.12471
African Affairs,0001-9909,10.1093/afraf/adu031,https://doi.org/10.1093/afraf/adu031
International Affairs,0020-5850,10.1111/1468-2346.12269,https://doi.org/10.1111/1468-2346.12269
International Studies Review,1521-9488,10.1093/isr/vix044,https://doi.org/10.1093/isr/vix044
International Political Sociology,1749-5679,10.1111/ips.12000,https://doi.org/10.1111/ips.12000
European Journal of International Law,0938-5428,10.1093/ejil/chad002,https://doi.org/10.1093/ejil/chad002
Parliamentary Affairs,0031-2290,10.1093/pa/gsae001,https://doi.org/10.1093/pa/gsae001
Chinese Journal of International Politics,1750-8916,10.1093/cjip/pov009,https://doi.org/10.1093/cjip/pov009
International Affairs,0020-5850,10.1093/ia/iiac094,https://doi.org/10.1093/ia/iiac094
Political Science Quarterly,0032-3195,10.1002/polq.12626,https://doi.org/10.1002/polq.12626
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjae044,https://doi.org/10.1093/publius/pjae044
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijs039,https://doi.org/10.1093/ijtj/ijs039
International Affairs,0020-5850,10.1111/1468-2346.12127,https://doi.org/10.1111/1468-2346.12127
Socio-Economic Review,1475-1461,10.1093/ser/mwae058,https://doi.org/10.1093/ser/mwae058
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjad025,https://doi.org/10.1093/publius/pjad025
Political Science Quarterly,0032-3195,10.1002/polq.12442,https://doi.org/10.1002/polq.12442
Political Science Quarterly,0032-3195,10.1002/polq.12493,https://doi.org/10.1002/polq.12493
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/muy077,https://doi.org/10.1093/jopart/muy077
International Political Sociology,1749-5679,10.1111/ips.12055,https://doi.org/10.1111/ips.12055
Human Rights Law Review,1461-7781,10.1093/hrlr/ngq021,https://doi.org/10.1093/hrlr/ngq021
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2012.tb01156.x,https://doi.org/10.1002/j.1538-165x.2012.tb01156.x
African Affairs,0001-9909,10.1093/afraf/adv047,https://doi.org/10.1093/afraf/adv047
European Journal of International Law,0938-5428,10.1093/ejil/chs018,https://doi.org/10.1093/ejil/chs018
Parliamentary Affairs,0031-2290,10.1093/pa/gsaa050,https://doi.org/10.1093/pa/gsaa050
Science and Public Policy,0302-3427,10.3152/030234210x501216,https://doi.org/10.3152/030234210x501216
Political Science Quarterly,0032-3195,10.1002/polq.12258,https://doi.org/10.1002/polq.12258
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijq017,https://doi.org/10.1093/ijtj/ijq017
Science and Public Policy,0302-3427,10.1093/scipol/scs040,https://doi.org/10.1093/scipol/scs040
International Affairs,0020-5850,10.1093/ia/iiab231,https://doi.org/10.1093/ia/iiab231
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2011.tb02126.x,https://doi.org/10.1002/j.1538-165x.2011.tb02126.x
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2012.tb02274.x,https://doi.org/10.1002/j.1538-165x.2012.tb02274.x
Science and Public Policy,0302-3427,10.3152/030234210x484801,https://doi.org/10.3152/030234210x484801
Public Opinion Quarterly,0033-362X,10.1093/poq/nfq058,https://doi.org/10.1093/poq/nfq058
Political Science Quarterly,0032-3195,10.1002/polq.12132,https://doi.org/10.1002/polq.12132
European Journal of International Law,0938-5428,10.1093/ejil/chr076,https://doi.org/10.1093/ejil/chr076
European Journal of International Law,0938-5428,10.1093/ejil/chae005,https://doi.org/10.1093/ejil/chae005
International Studies Quarterly,0020-8833,10.1093/isq/sqab054,https://doi.org/10.1093/isq/sqab054
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjx032,https://doi.org/10.1093/publius/pjx032
Foreign Policy Analysis,1743-8586,10.1111/j.1743-8594.2011.00155.x,https://doi.org/10.1111/j.1743-8594.2011.00155.x
Public Opinion Quarterly,0033-362X,10.1093/poq/nfy024,https://doi.org/10.1093/poq/nfy024
African Affairs,0001-9909,10.1093/afraf/adz014,https://doi.org/10.1093/afraf/adz014
Policy and Society,1449-4035,10.1016/j.polsoc.2013.10.002,https://doi.org/10.1016/j.polsoc.2013.10.002
Socio-Economic Review,1475-1461,10.1093/ser/mwv024,https://doi.org/10.1093/ser/mwv024
International Affairs,0020-5850,10.1093/ia/iix238,https://doi.org/10.1093/ia/iix238
Science and Public Policy,0302-3427,10.1093/scipol/scu061,https://doi.org/10.1093/scipol/scu061
Science and Public Policy,0302-3427,10.1093/scipol/scs021,https://doi.org/10.1093/scipol/scs021
Political Science Quarterly,0032-3195,10.1002/polq.12483,https://doi.org/10.1002/polq.12483
International Studies Review,1521-9488,10.1111/j.1468-2486.2011.01078.x,https://doi.org/10.1111/j.1468-2486.2011.01078.x
Political Science Quarterly,0032-3195,10.1002/polq.2010.125.issue-3,https://doi.org/10.1002/polq.2010.125.issue-3
International Studies Review,1521-9488,10.1093/isr/vix022,https://doi.org/10.1093/isr/vix022
International Affairs,0020-5850,10.1093/ia/iiy103,https://doi.org/10.1093/ia/iiy103
International Studies Quarterly,0020-8833,10.1111/isqu.12070,https://doi.org/10.1111/isqu.12070
African Affairs,0001-9909,10.1093/afraf/adx020,https://doi.org/10.1093/afraf/adx020
Political Science Quarterly,0032-3195,10.1002/polq.13301,https://doi.org/10.1002/polq.13301
International Studies Review,1521-9488,10.1093/isr/vix029,https://doi.org/10.1093/isr/vix029
European Journal of International Law,0938-5428,10.1093/ejil/chz022,https://doi.org/10.1093/ejil/chz022
European Journal of International Law,0938-5428,10.1093/ejil/chw039,https://doi.org/10.1093/ejil/chw039
Human Rights Law Review,1461-7781,10.1093/hrlr/ngad014,https://doi.org/10.1093/hrlr/ngad014
European Journal of International Law,0938-5428,10.1093/ejil/chq057,https://doi.org/10.1093/ejil/chq057
International Studies Quarterly,0020-8833,10.1093/isq/sqac059,https://doi.org/10.1093/isq/sqac059
Political Science Quarterly,0032-3195,10.1093/psquar/qqae120,https://doi.org/10.1093/psquar/qqae120
Socio-Economic Review,1475-1461,10.1093/ser/mww005,https://doi.org/10.1093/ser/mww005
European Journal of International Law,0938-5428,10.1093/ejil/chaa071,https://doi.org/10.1093/ejil/chaa071
Foreign Policy Analysis,1743-8586,10.1093/fpa/orad031,https://doi.org/10.1093/fpa/orad031
International Studies Review,1521-9488,10.1111/misr.12254,https://doi.org/10.1111/misr.12254
Journal of Public Administration Research and Theory,1053-1858,10.1093/jopart/mur044,https://doi.org/10.1093/jopart/mur044
Socio-Economic Review,1475-1461,10.1093/ser/mwab025,https://doi.org/10.1093/ser/mwab025
International Affairs,0020-5850,10.1093/ia/iiz132,https://doi.org/10.1093/ia/iiz132
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2011.tb02118.x,https://doi.org/10.1002/j.1538-165x.2011.tb02118.x
Socio-Economic Review,1475-1461,10.1093/ser/mwx019,https://doi.org/10.1093/ser/mwx019
European Journal of International Law,0938-5428,10.1093/ejil/cht007,https://doi.org/10.1093/ejil/cht007
Science and Public Policy,0302-3427,10.3152/030234212x13214603531888,https://doi.org/10.3152/030234212x13214603531888
Political Science Quarterly,0032-3195,10.1002/polq.12242,https://doi.org/10.1002/polq.12242
Science and Public Policy,0302-3427,10.1093/scipol/scae051,https://doi.org/10.1093/scipol/scae051
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjz006,https://doi.org/10.1093/publius/pjz006
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijac006,https://doi.org/10.1093/ijtj/ijac006
Human Rights Law Review,1461-7781,10.1093/hrlr/ngu035,https://doi.org/10.1093/hrlr/ngu035
Public Opinion Quarterly,0033-362X,10.1093/poq/nfr025,https://doi.org/10.1093/poq/nfr025
International Affairs,0020-5850,10.1093/ia/iiaa229,https://doi.org/10.1093/ia/iiaa229
African Affairs,0001-9909,10.1093/afraf/adz002,https://doi.org/10.1093/afraf/adz002
International Political Sociology,1749-5679,10.1111/ips.12082,https://doi.org/10.1111/ips.12082
Public Opinion Quarterly,0033-362X,10.1093/poq/nfv030,https://doi.org/10.1093/poq/nfv030
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijz017,https://doi.org/10.1093/ijtj/ijz017
International Affairs,0020-5850,10.1093/ia/iiab090,https://doi.org/10.1093/ia/iiab090
International Affairs,0020-5850,10.1093/ia/iiz266,https://doi.org/10.1093/ia/iiz266
International Political Sociology,1749-5679,10.1093/ips/olac020,https://doi.org/10.1093/ips/olac020
International Affairs,0020-5850,10.1111/1468-2346.12297,https://doi.org/10.1111/1468-2346.12297
International Studies Quarterly,0020-8833,10.1093/isq/sqad087,https://doi.org/10.1093/isq/sqad087
International Studies Review,1521-9488,10.1111/j.1468-2486.2010.00959.x,https://doi.org/10.1111/j.1468-2486.2010.00959.x
International Studies Quarterly,0020-8833,10.1111/j.1468-2478.2012.00751.x,https://doi.org/10.1111/j.1468-2478.2012.00751.x
International Affairs,0020-5850,10.1093/ia/iiab156,https://doi.org/10.1093/ia/iiab156
African Affairs,0001-9909,10.1093/afraf/adw024,https://doi.org/10.1093/afraf/adw024
Science and Public Policy,0302-3427,10.1093/scipol/scz034,https://doi.org/10.1093/scipol/scz034
International Affairs,0020-5850,10.1093/ia/iiz086,https://doi.org/10.1093/ia/iiz086
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjad023,https://doi.org/10.1093/publius/pjad023
International Affairs,0020-5850,10.1093/ia/iix214,https://doi.org/10.1093/ia/iix214
Foreign Policy Analysis,1743-8586,10.1093/fpa/orw059,https://doi.org/10.1093/fpa/orw059
International Affairs,0020-5850,10.1111/1468-2346.12654,https://doi.org/10.1111/1468-2346.12654
Human Rights Law Review,1461-7781,10.1093/hrlr/ngr031,https://doi.org/10.1093/hrlr/ngr031
International Studies Review,1521-9488,10.1093/isr/viae038.03,https://doi.org/10.1093/isr/viae038.03
Human Rights Law Review,1461-7781,10.1093/hrlr/ngr011,https://doi.org/10.1093/hrlr/ngr011
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/iju008,https://doi.org/10.1093/ijtj/iju008
International Affairs,0020-5850,10.1111/j.1468-2346.2011.00977.x,https://doi.org/10.1111/j.1468-2346.2011.00977.x
European Journal of International Law,0938-5428,10.1093/ejil/chx054,https://doi.org/10.1093/ejil/chx054
Foreign Policy Analysis,1743-8586,10.1093/fpa/orw027,https://doi.org/10.1093/fpa/orw027
International Studies Quarterly,0020-8833,10.1111/isqu.12141,https://doi.org/10.1111/isqu.12141
International Studies Quarterly,0020-8833,10.1093/isq/sqz004,https://doi.org/10.1093/isq/sqz004
Parliamentary Affairs,0031-2290,10.1093/pa/gsq034,https://doi.org/10.1093/pa/gsq034
International Affairs,0020-5850,10.1093/ia/iix070,https://doi.org/10.1093/ia/iix070
Science and Public Policy,0302-3427,10.1093/scipol/scae068,https://doi.org/10.1093/scipol/scae068
International Studies Perspectives,1528-3577,10.1111/j.1528-3585.2011.00428.x,https://doi.org/10.1111/j.1528-3585.2011.00428.x
Socio-Economic Review,1475-1461,10.1093/ser/mwq021,https://doi.org/10.1093/ser/mwq021
International Affairs,0020-5850,10.1093/ia/iiz065,https://doi.org/10.1093/ia/iiz065
Parliamentary Affairs,0031-2290,10.1093/pa/gsx076,https://doi.org/10.1093/pa/gsx076
Political Science Quarterly,0032-3195,10.1002/polq.12159,https://doi.org/10.1002/polq.12159
International Studies Quarterly,0020-8833,10.1093/isq/sqab017,https://doi.org/10.1093/isq/sqab017
International Affairs,0020-5850,10.1093/ia/iiab243,https://doi.org/10.1093/ia/iiab243
Science and Public Policy,0302-3427,10.1093/scipol/scab084,https://doi.org/10.1093/scipol/scab084
Science and Public Policy,0302-3427,10.1093/scipol/scaa050,https://doi.org/10.1093/scipol/scaa050
International Studies Perspectives,1528-3577,10.1111/insp.12092,https://doi.org/10.1111/insp.12092
European Journal of International Law,0938-5428,10.1093/ejil/chr008,https://doi.org/10.1093/ejil/chr008
Perspectives on Public Management and Governance,2398-4910,10.1093/ppmgov/gvae003,https://doi.org/10.1093/ppmgov/gvae003
European Journal of International Law,0938-5428,10.1093/ejil/chz047,https://doi.org/10.1093/ejil/chz047
International Studies Perspectives,1528-3577,10.1093/isp/ekx010,https://doi.org/10.1093/isp/ekx010
African Affairs,0001-9909,10.1093/afraf/ads048,https://doi.org/10.1093/afraf/ads048
International Studies Review,1521-9488,10.1111/misr.12054,https://doi.org/10.1111/misr.12054
Parliamentary Affairs,0031-2290,10.1093/pa/gsq002,https://doi.org/10.1093/pa/gsq002
International Political Sociology,1749-5679,10.1093/ips/olz010,https://doi.org/10.1093/ips/olz010
International Affairs,0020-5850,10.1093/ia/iiaa197,https://doi.org/10.1093/ia/iiaa197
Political Science Quarterly,0032-3195,10.1002/j.1538-165x.2011.tb02100.x,https://doi.org/10.1002/j.1538-165x.2011.tb02100.x
International Studies Quarterly,0020-8833,10.1093/isq/sqz072,https://doi.org/10.1093/isq/sqz072
Parliamentary Affairs,0031-2290,10.1093/pa/gsw015,https://doi.org/10.1093/pa/gsw015
International Studies Review,1521-9488,10.1093/isr/viaa063,https://doi.org/10.1093/isr/viaa063
Science and Public Policy,0302-3427,10.1093/scipol/scx014,https://doi.org/10.1093/scipol/scx014
International Studies Review,1521-9488,10.1093/isr/viy027,https://doi.org/10.1093/isr/viy027
Political Science Quarterly,0032-3195,10.1002/polq.12458,https://doi.org/10.1002/polq.12458
International Studies Quarterly,0020-8833,10.1093/isq/sqx033,https://doi.org/10.1093/isq/sqx033
International Affairs,0020-5850,10.1093/ia/iiac048,https://doi.org/10.1093/ia/iiac048
Political Science Quarterly,0032-3195,10.1002/polq.12529,https://doi.org/10.1002/polq.12529
International Affairs,0020-5850,10.1111/1468-2346.12103,https://doi.org/10.1111/1468-2346.12103
Chinese Journal of International Politics,1750-8916,10.1093/cjip/poae006,https://doi.org/10.1093/cjip/poae006
Political Science Quarterly,0032-3195,10.1002/polq.12104,https://doi.org/10.1002/polq.12104
Science and Public Policy,0302-3427,10.1093/scipol/scy073,https://doi.org/10.1093/scipol/scy073
Political Science Quarterly,0032-3195,10.1002/polq.12307,https://doi.org/10.1002/polq.12307
European Journal of International Law,0938-5428,10.1093/ejil/cht065,https://doi.org/10.1093/ejil/cht065
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjq023,https://doi.org/10.1093/publius/pjq023
Policy and Society,1449-4035,10.1016/j.polsoc.2014.10.004,https://doi.org/10.1016/j.polsoc.2014.10.004
International Affairs,0020-5850,10.1093/ia/iiab011,https://doi.org/10.1093/ia/iiab011
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjac010,https://doi.org/10.1093/publius/pjac010
Public Opinion Quarterly,0033-362X,10.1093/poq/nfac027,https://doi.org/10.1093/poq/nfac027
Publius-the Journal of Federalism,0048-5950,10.1093/publius/pjae042,https://doi.org/10.1093/publius/pjae042
European Journal of International Law,0938-5428,10.1093/ejil/chab024,https://doi.org/10.1093/ejil/chab024
Political Science Quarterly,0032-3195,10.1002/polq.12643,https://doi.org/10.1002/polq.12643
Science and Public Policy,0302-3427,10.1093/scipol/scy045,https://doi.org/10.1093/scipol/scy045
International Affairs,0020-5850,10.1093/ia/iix276,https://doi.org/10.1093/ia/iix276
International Studies Review,1521-9488,10.1093/isr/viab035,https://doi.org/10.1093/isr/viab035
International Journal of Transitional Justice,1752-7716,10.1093/ijtj/ijx034,https://doi.org/10.1093/ijtj/ijx034
International Journal of Public Opinion Research,0954-2892,10.1093/ijpor/edr058,https://doi.org/10.1093/ijpor/edr058
Public Opinion Quarterly,0033-362X,10.1093/poq/nfr059,https://doi.org/10.1093/poq/nfr059
Public Opinion Quarterly,0033-362X,10.1093/poq/nft038,https://doi.org/10.1093/poq/nft038
Policy and Society,1449-4035,10.1016/j.polsoc.2011.03.002,https://doi.org/10.1016/j.polsoc.2011.03.002
